,lastReportTime,Unnamed: 0,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Sequence,Temp(¢J),wind direction,wind speed(m/s),Rainfall(mm)
0,2020-07-01 00:00:00,0,1.0,3.0,0.0,1.0,59.976181818181814,88042.78181818181,386110.50363636354,833.1117003367002,1,0,2952,27.2,89,1.5,0
1,2020-07-01 01:00:00,1,1.0,3.0,0.0,1.0,59.989833333333344,151474.13333333336,386237.01833333337,1927.5166666666667,0,0,2951,29.1,83,0.8,0
2,2020-07-01 02:00:00,2,1.0,3.0,0.0,1.0,60.00443939393939,151392.19393939394,386388.27787878795,1697.4250000000004,0,0,2950,28.9,83,1.5,0
3,2020-07-01 03:00:00,3,1.0,3.0,0.0,1.0,59.99816666666667,162370.06666666668,386209.94,1967.9819444444445,0,0,2949,28.6,84,1.4,0
4,2020-07-01 04:00:00,4,1.0,3.0,0.0,1.0,59.991333333333344,102104.36666666665,386684.13,1087.2604166666667,0,0,2948,28.5,84,1.4,0
5,2020-07-01 05:00:00,5,1.0,3.0,0.0,1.0,59.9975,144624.64999999997,382735.95499999996,1568.4791666666665,0,0,2947,28.6,83,0.8,0
6,2020-07-01 06:00:00,6,1.0,3.0,0.0,1.0,59.97916666666665,168217.74999999997,386966.1533333334,1927.3541666666665,0,0,2946,28.6,82,1.6,0
7,2020-07-01 07:00:00,7,1.0,3.0,0.0,1.0,60.00500000000001,165171.76666666666,387133.7166666667,2057.3875,2,0,2945,29.2,78,1.2,0
8,2020-07-01 08:00:00,8,1.0,3.0,0.0,1.0,60.011090909090896,165353.14363636365,387294.43563636363,2007.084090909091,2,0,2944,30.7,60,0.8,0
9,2020-07-01 09:00:00,9,1.0,3.0,0.0,1.0,60.01249999999999,145202.51666666666,387445.025,1578.541860465116,2,0,2943,32.5,56,1.1,0
10,2020-07-01 10:00:00,10,1.0,3.0,0.0,1.0,60.001,89567.16666666666,387561.80333333334,543.1044089147285,2,0,2942,33.4,53,1.0,0
11,2020-07-01 11:00:00,11,1.0,3.0,0.0,1.0,59.98533333333332,66774.9,387642.71499999997,333.5718507751938,2,0,2941,33.7,52,0.5,0
12,2020-07-01 12:00:00,12,1.0,3.0,0.0,1.0,59.9920303030303,46462.67878787879,387698.1010606061,408.7934593023256,2,0,2940,34.4,52,0.6,0
13,2020-07-01 13:00:00,13,1.0,3.0,0.0,1.0,59.99133333333333,19823.76666666667,387734.63999999996,414.0900678294573,3,0,2939,34.1,56,0.9,0
14,2020-07-01 14:00:00,14,1.0,3.0,0.0,1.0,60.00599999999999,14137.56666666667,387750.775,334.0450096899225,3,0,2938,31.3,65,2.1,0
15,2020-07-01 15:00:00,15,1.0,3.0,0.0,1.0,59.99633333333334,10253.91,387763.5466666667,280.69578488372093,3,0,2937,29.5,71,3.3,0
16,2020-07-01 16:00:00,16,1.0,3.0,0.0,1.0,59.988166666666665,8735.116,387773.3583333333,85.53406007751937,3,0,2936,27.5,84,3.3,0
17,2020-07-01 17:00:00,17,1.0,3.0,0.0,1.0,60.01036363636363,6071.350319749216,387779.6418181818,36.04244186046512,3,0,2935,26.2,98,2.5,9
18,2020-07-01 18:00:00,18,1.0,3.0,0.0,1.0,60.00966666666667,6401.402298850575,379642.1266666666,32.03415697674419,3,0,2934,26.9,98,0.9,0
19,2020-07-01 19:00:00,19,1.0,3.0,0.0,1.0,60.03827272727271,6482.503448275861,387791.36772727274,27.85159883720931,4,0,2933,27.1,95,1.6,0
20,2020-07-01 20:00:00,20,1.0,3.0,0.0,1.0,59.99033333333334,8795.736997126436,387799.475,23.66904069767441,4,0,2932,27.5,94,1.0,0
21,2020-07-01 21:00:00,21,1.0,3.0,0.0,1.0,59.99583333333335,6862.151041666667,377462.44666666666,19.48648255813953,4,0,2931,27.3,90,1.8,0
22,2020-07-01 22:00:00,22,1.0,3.0,0.0,1.0,60.00849999999999,6331.109375,377728.49000000005,15.30392441860465,4,0,2930,27.3,88,0.7,0
23,2020-07-01 23:00:00,23,1.0,3.0,0.0,1.0,59.96833333333334,16675.174999999996,377476.8633333333,51.47215468639887,4,0,2929,27.5,88,1.2,0
24,2020-07-02 00:00:00,24,1.0,3.0,0.0,1.0,60.014590909090906,89290.22121212119,387866.8010606061,679.0662878787879,1,0,2928,25.0,100,0.8,0
25,2020-07-02 01:00:00,25,1.0,3.0,0.0,1.0,60.001090909090905,151394.89090909093,387991.4909090909,1912.5045454545457,0,0,2927,27.1,88,0.8,0
26,2020-07-02 02:00:00,26,1.0,3.0,0.0,1.0,60.00033333333333,158688.15000000002,388143.46,1964.8375,0,0,2926,26.9,90,0.4,0
27,2020-07-02 03:00:00,27,1.0,3.0,0.0,1.0,59.98084848484848,147247.86666666667,388298.90242424246,1538.91875,0,0,2925,27.0,89,2.0,0
28,2020-07-02 04:00:00,28,1.0,3.0,0.0,1.0,60.015666666666675,87779.3166666667,388421.38666666666,799.3479166666667,0,0,2924,26.9,89,1.4,0
29,2020-07-02 05:00:00,29,1.0,3.0,0.0,1.0,60.01583333333334,127095.7,388518.04500000004,1610.8583333333331,0,0,2923,26.8,90,0.8,0
30,2020-07-02 06:00:00,30,1.0,3.0,0.0,1.0,60.01833333333335,163901.98333333334,388669.9533333333,1883.6083333333331,0,0,2922,27.3,86,1.1,0
31,2020-07-02 07:00:00,31,1.0,3.0,0.0,1.0,59.99066666666666,150776.33333333334,381339.67333333334,1878.9916666666666,2,0,2921,28.1,80,0.6,0
32,2020-07-02 08:00:00,32,1.0,3.0,0.0,1.0,59.96916666666666,142636.96666666667,378576.2566666667,1817.3020833333333,2,0,2920,30.1,59,0.6,0
33,2020-07-02 09:00:00,33,1.0,3.0,0.0,1.0,60.02183333333333,127594.4166666667,389118.4783333333,1335.0541666666666,2,0,2919,31.8,54,0.8,0
34,2020-07-02 10:00:00,34,1.0,3.0,0.0,1.0,59.982545454545445,94610.16363636364,389222.27454545454,456.99090909090904,2,0,2918,32.9,51,0.4,0
35,2020-07-02 11:00:00,35,1.0,3.0,0.0,1.0,59.96031818181818,65450.34242424242,389300.0496969697,235.93333333333337,2,0,2917,33.4,47,0.8,0
36,2020-07-02 12:00:00,36,1.0,3.0,0.0,1.0,59.977666666666664,44731.03333333334,381855.33833333326,207.43238224637682,2,0,2916,34.8,52,0.9,0
37,2020-07-02 13:00:00,37,1.0,3.0,0.0,1.0,60.006499999999996,30361.933333333327,389393.3533333333,107.08695652173913,3,0,2915,33.3,56,1.3,0
38,2020-07-02 14:00:00,38,1.0,3.0,0.0,1.0,60.00566666666666,12743.352499999999,389414.9050000001,97.64293478260868,3,0,2914,27.8,92,0.9,2
39,2020-07-02 15:00:00,39,1.0,3.0,0.0,1.0,59.991166666666665,5636.758333333333,389423.18833333335,37.42807971014493,3,0,2913,26.6,99,0.6,25
40,2020-07-02 16:00:00,40,1.0,3.0,0.0,1.0,59.991333333333344,5437.118333333333,389428.99833333335,11.404891304347828,3,0,2912,26.7,99,1.3,6
41,2020-07-02 17:00:00,41,1.0,3.0,0.0,1.0,59.98333333333333,7898.678333333332,389435.67000000004,12.148369565217395,3,0,2911,25.7,99,2.1,7
42,2020-07-02 18:00:00,42,1.0,3.0,0.0,1.0,60.00490909090909,6755.99909090909,389441.92000000004,12.860869565217396,3,0,2910,24.8,100,1.1,9
43,2020-07-02 19:00:00,43,1.0,3.0,0.0,1.0,60.002166666666675,7677.868333333332,389447.1316666667,13.57336956521739,4,0,2909,25.0,100,0.9,4
44,2020-07-02 20:00:00,44,1.0,3.0,0.0,1.0,60.001560606060615,7808.757243163341,389453.38106060604,14.316847826086958,4,0,2908,24.9,100,1.4,5
45,2020-07-02 21:00:00,45,1.0,3.0,0.0,1.0,59.997,8174.1540650406505,389459.6416666667,15.06032608695652,4,0,2907,25.0,100,0.6,2
46,2020-07-02 22:00:00,46,1.0,3.0,0.0,1.0,60.020833333333336,5713.179674796747,389466.6616666666,15.803804347826086,4,0,2906,24.9,100,1.3,0
47,2020-07-02 23:00:00,47,1.0,3.0,0.0,1.0,59.99706060606061,11239.574168514413,389473.90106060606,43.48297101449276,4,0,2905,25.0,100,0.8,1
48,2020-07-03 00:00:00,48,1.0,3.0,0.0,1.0,60.024,85040.71666666665,389513.48833333334,742.6904509916095,1,0,2904,28.7,84,1.8,0
49,2020-07-03 01:00:00,49,1.0,3.0,0.0,1.0,60.007999999999996,131764.63333333333,389631.7533333333,1626.6655701754385,0,0,2903,25.2,100,1.0,0
50,2020-07-03 02:00:00,50,1.0,3.0,0.0,1.0,59.96283333333334,142993.75,389770.68833333335,1800.6742324561408,0,0,2902,25.2,100,1.0,0
51,2020-07-03 03:00:00,51,1.0,3.0,0.0,1.0,59.95472727272729,154651.87272727274,389915.25636363635,1974.3454545454545,0,0,2901,25.0,100,1.0,0
52,2020-07-03 04:00:00,52,1.0,3.0,0.0,1.0,59.990454545454554,105951.47878787879,390044.55378787883,870.2386363636363,0,0,2900,25.1,100,1.3,0
53,2020-07-03 05:00:00,53,1.0,3.0,0.0,1.0,59.96766666666667,141983.76666666666,385734.7333333334,1666.4553030303032,0,0,2899,25.3,98,0.9,0
54,2020-07-03 06:00:00,54,1.0,3.0,0.0,1.0,60.00999999999999,154588.1,380202.28500000003,1755.1988636363637,0,0,2898,25.3,99,0.7,0
55,2020-07-03 07:00:00,55,1.0,3.0,0.0,1.0,60.022499999999994,161638.49999999997,390477.8083333333,1959.2285256410257,2,0,2897,26.7,89,1.1,0
56,2020-07-03 08:00:00,56,1.0,3.0,0.0,1.0,59.994333333333316,161554.11666666667,390641.7583333334,1985.7798076923075,2,0,2896,29.0,62,1.3,0
57,2020-07-03 09:00:00,57,1.0,3.0,0.0,1.0,60.01047435897436,144660.79615384614,390803.48923076916,1765.3145833333333,2,0,2895,31.4,52,0.2,0
58,2020-07-03 10:00:00,58,1.0,3.0,0.0,1.0,59.97349999999999,92868.65000000001,383396.79000000004,490.35416666666663,2,0,2894,33.9,43,0.5,0
59,2020-07-03 11:00:00,59,1.0,3.0,0.0,1.0,59.975454545454554,75382.47272727273,391002.58909090917,332.4938220230474,2,0,2893,34.9,39,1.1,0
60,2020-07-03 12:00:00,60,1.0,3.0,0.0,1.0,60.01428787878789,56048.74090909089,391064.383030303,152.03349871959028,2,0,2892,36.5,41,1.3,0
61,2020-07-03 13:00:00,61,1.0,3.0,0.0,1.0,59.99183333333334,43713.49999999999,391115.07333333336,146.50399061032866,3,0,2891,34.3,50,1.8,0
62,2020-07-03 14:00:00,62,1.0,3.0,0.0,1.0,60.009151515151515,19992.836363636365,391147.9001515151,120.12599765258216,3,0,2890,34.4,52,1.2,0
63,2020-07-03 15:00:00,63,1.0,3.0,0.0,1.0,60.004,16299.35,391165.4216666666,138.96467136150233,3,0,2889,35.1,47,1.8,0
64,2020-07-03 16:00:00,64,1.0,3.0,0.0,1.0,60.00483333333333,12973.892528735629,391179.3933333334,189.7908450704226,3,0,2888,33.8,54,0.7,0
65,2020-07-03 17:00:00,65,1.0,3.0,0.0,1.0,59.99971212121212,12125.591379310345,391190.91787878785,173.07876120358512,3,0,2887,31.0,67,2.4,0
66,2020-07-03 18:00:00,66,1.0,3.0,0.0,1.0,60.008333333333326,8353.82356321839,391201.2733333333,35.80985915492957,3,0,2886,30.7,72,1.5,0
67,2020-07-03 19:00:00,67,1.0,3.0,0.0,1.0,59.98683333333334,5981.155747126436,391208.81999999995,11.756866197183099,4,0,2885,30.6,72,1.9,0
68,2020-07-03 20:00:00,68,1.0,3.0,0.0,1.0,60.003454545454545,5739.028004179729,391214.8836363636,11.550352112676057,4,0,2884,30.3,74,1.8,0
69,2020-07-03 21:00:00,69,1.0,3.0,0.0,1.0,60.020363636363655,5872.198746081505,391221.31545454543,11.343838028169014,4,0,2883,30.0,79,1.3,0
70,2020-07-03 22:00:00,70,1.0,3.0,0.0,1.0,59.98189393939394,7975.965778474398,391228.51045454544,11.128345070422535,4,0,2882,29.0,83,1.9,0
71,2020-07-03 23:00:00,71,1.0,3.0,0.0,1.0,59.97786363636364,12691.810222918843,381112.47590909095,34.71090215535638,4,0,2881,28.9,83,1.8,0
72,2020-07-04 00:00:00,72,1.0,3.0,0.0,1.0,60.00933333333332,73156.56666666668,391270.3916666667,721.9693181818184,1,1,2880,28.6,77,2.0,0
