,lastReportTime,Unnamed: 0,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Sequence,Temp(¢J),wind direction,wind speed(m/s),Rainfall(mm)
0,2020-08-07 12:00:00,900,1.0,3.0,0.0,1.0,59.997872727272735,21410.50974025974,566442.5587272728,10015.344040932889,2,0,2052,34.7,48,0.5,0
1,2020-08-07 13:00:00,901,1.0,3.0,0.0,1.0,59.99183333333334,17598.315298303227,566462.2266666668,9283.126499682692,3,0,2051,34.5,47,1.1,0
2,2020-08-07 14:00:00,902,1.0,3.0,0.0,1.0,59.967000000000006,15356.581609195404,566478.6316666667,8893.497912501982,3,0,2050,35.6,48,0.7,0
3,2020-08-07 15:00:00,903,1.0,3.0,0.0,1.0,59.9985,10055.657183908048,566491.3333333333,7297.794325321274,3,0,2049,35.6,44,1.6,0
4,2020-08-07 16:00:00,904,1.0,3.0,0.0,1.0,60.019000000000005,7745.393869731799,566501.5450000002,6558.151154807235,3,0,2048,34.8,45,1.6,0
5,2020-08-07 17:00:00,905,1.0,3.0,0.0,1.0,60.00066666666667,9534.138383838383,566513.8716666666,7376.743400959859,3,0,2047,33.0,60,0.8,0
6,2020-08-07 18:00:00,906,1.0,3.0,0.0,1.0,59.97983333333333,9619.299564611632,566527.125,7363.143980445821,3,0,2046,32.4,63,0.6,0
7,2020-08-07 19:00:00,907,1.0,3.0,0.0,1.0,60.006212121212116,8326.597526994079,566540.6663636363,6728.107249325717,4,0,2045,31.9,63,1.6,0
8,2020-08-07 20:00:00,908,1.0,3.0,0.0,1.0,60.03116666666667,8669.678822709857,566554.4583333334,6808.926389417738,4,0,2044,31.3,67,1.8,0
9,2020-08-07 21:00:00,909,1.0,3.0,0.0,1.0,60.034909090909096,8279.674259839778,566568.1927272727,6531.464302712995,4,0,2043,30.7,71,2.3,0
10,2020-08-07 22:00:00,910,1.0,3.0,0.0,1.0,60.020666666666656,8754.75303030303,566582.575,6809.728541765825,4,0,2042,30.5,72,1.1,0
11,2020-08-07 23:00:00,911,1.0,3.0,0.0,1.0,60.03116666666667,8798.697544409613,566596.525,6759.695787918453,4,0,2041,30.2,73,1.4,0
12,2020-08-08 00:00:00,912,1.0,3.0,0.0,1.0,59.989833333333344,12805.160829559969,566610.275,7960.540117404413,1,1,2040,29.3,68,2.5,0
13,2020-08-08 01:00:00,913,1.0,3.0,0.0,1.0,59.990878787878785,18033.6289968652,566625.2181818183,8946.801113557036,0,1,2039,29.5,74,1.2,0
14,2020-08-08 02:00:00,914,1.0,3.0,0.0,1.0,59.96650000000001,20049.885632183905,561042.7416666667,9291.660026376328,0,1,2038,29.2,77,1.5,0
15,2020-08-08 03:00:00,915,1.0,3.0,0.0,1.0,59.99583333333334,19026.20287356322,566665.5700000001,9772.954355862288,0,1,2037,28.8,80,1.1,0
16,2020-08-08 04:00:00,916,1.0,3.0,0.0,1.0,59.98771212121212,16162.415229885059,566683.0283333333,9139.320465651277,0,1,2036,28.6,78,1.4,0
17,2020-08-08 05:00:00,917,1.0,3.0,0.0,1.0,59.982000000000006,14667.594252873565,566698.8083333333,8209.690931500874,0,1,2035,28.3,80,2.2,0
18,2020-08-08 06:00:00,918,1.0,3.0,0.0,1.0,60.011272727272726,15702.981609195402,566713.8363636363,8718.015019038554,0,1,2034,28.1,79,1.3,0
19,2020-08-08 07:00:00,919,1.0,3.0,0.0,1.0,60.00216666666667,23315.56896551724,566734.4099999999,10714.282667182295,2,1,2033,29.0,73,1.5,0
20,2020-08-08 08:00:00,920,1.0,3.0,0.0,1.0,59.97800000000001,18727.936206896553,566756.0216666667,10278.839496668252,2,1,2032,30.8,59,0.8,0
21,2020-08-08 09:00:00,921,1.0,3.0,0.0,1.0,59.98233333333333,14040.59511494253,566772.3,9335.140076154214,2,1,2031,32.4,54,1.1,0
22,2020-08-08 10:00:00,922,1.0,3.0,0.0,1.0,59.98966666666668,11689.140134099616,566785.6266666666,8547.815655640172,2,1,2030,31.7,59,0.9,0
23,2020-08-08 11:00:00,923,1.0,3.0,0.0,1.0,59.99633333333334,11829.789319923371,566797.8233333334,8264.514151792795,2,1,2029,32.8,52,1.0,0
24,2020-08-08 12:00:00,924,1.0,3.0,0.0,1.0,60.00616666666666,11345.35211685824,566810.23,8016.489731278755,2,1,2028,35.1,46,0.6,0
25,2020-08-08 13:00:00,925,1.0,3.0,0.0,1.0,59.99516666666667,10923.855747126436,566824.1383333334,7934.177810764715,3,1,2027,34.0,49,0.9,0
26,2020-08-08 14:00:00,926,1.0,3.0,0.0,1.0,59.99400000000001,10790.632988505746,566839.745,7793.128390250676,3,1,2026,32.9,60,1.6,0
27,2020-08-08 15:00:00,927,1.0,3.0,0.0,1.0,60.01390909090909,9200.253375130616,566854.8258181817,6874.673689909566,3,1,2025,33.8,59,1.6,0
28,2020-08-08 16:00:00,928,1.0,3.0,0.0,1.0,59.99233333333334,9153.667701149427,566868.7966666666,6707.247209265429,3,1,2024,33.3,54,1.9,0
29,2020-08-08 17:00:00,929,1.0,3.0,0.0,1.0,60.00634848484848,11575.788275862067,561577.4795454544,7879.897788751388,3,1,2023,31.8,59,3.2,0
30,2020-08-08 18:00:00,930,1.0,3.0,0.0,1.0,60.031333333333336,12021.52551724138,566895.8316666667,8116.0525349040145,3,1,2022,31.4,59,3.0,0
31,2020-08-08 19:00:00,931,1.0,3.0,0.0,1.0,59.97166666666666,9134.136091954022,566911.8933333333,6821.26353105664,4,1,2021,30.7,64,1.9,0
32,2020-08-08 20:00:00,932,1.0,3.0,0.0,1.0,59.984666666666655,9113.063333333334,566928.5016666666,6939.618277209265,4,1,2020,30.2,67,2.1,0
33,2020-08-08 21:00:00,933,1.0,3.0,0.0,1.0,60.00933333333332,9479.90724137931,566946.1083333333,7083.7521900285565,4,1,2019,29.7,69,1.8,0
34,2020-08-08 22:00:00,934,1.0,3.0,0.0,1.0,60.015166666666666,9989.017816091953,566963.4066666669,7494.679852847852,4,1,2018,29.5,70,3.5,0
35,2020-08-08 23:00:00,935,1.0,3.0,0.0,1.0,60.02333333333333,9190.128390804599,566979.6833333333,7060.599182333808,4,1,2017,29.6,69,3.2,0
36,2020-08-09 00:00:00,936,1.0,3.0,0.0,1.0,60.015272727272716,12763.746793958393,566994.078909091,8291.62713350785,1,1,2016,29.4,73,1.3,0
37,2020-08-09 01:00:00,937,1.0,3.0,0.0,1.0,59.99100000000001,18289.95825496343,567009.0,9626.318001348563,0,1,2015,29.2,68,2.6,0
38,2020-08-09 02:00:00,938,1.0,3.0,0.0,1.0,59.98716666666668,25305.038314176243,567031.2583333333,11417.02274750119,0,1,2014,29.0,67,1.8,0
