,Unnamed: 0,lastReportTime,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Temperature
0,0,2020-07-01 00:00:00,3.0,2.0,4.5,1.0,59.99232954545455,9308.932295971073,27153.204734848492,24148.82149621212,1,0,27.2
1,1,2020-07-01 01:00:00,3.0,2.0,4.5,1.0,60.00526136363637,9246.68120006887,27161.81022727273,24154.327613636367,0,0,29.1
2,2,2020-07-01 02:00:00,3.0,2.0,4.5,1.0,60.01509469696969,9184.430104166666,27171.934375,24160.9324810606,0,0,28.9
3,3,2020-07-01 03:00:00,3.0,2.0,4.5,1.0,60.0,9122.179008264464,27182.831723484847,24168.148295454546,0,0,28.6
4,4,2020-07-01 04:00:00,3.0,2.0,4.5,1.0,59.98729166666666,9059.92791236226,27191.28333333333,24172.686458333334,0,0,28.5
5,5,2020-07-01 05:00:00,3.0,2.0,4.5,1.0,60.01511363636363,8997.676816460053,27198.721818181817,24176.640681818182,0,0,28.6
6,6,2020-07-01 06:00:00,3.0,2.0,4.5,1.0,60.00142424242424,8769.470678374653,27208.63299242424,24183.47426136364,0,0,28.6
7,7,2020-07-01 07:00:00,3.0,2.0,4.5,1.0,59.99895833333333,8100.565117079887,27218.87708333333,24190.59479166667,2,0,29.2
8,8,2020-07-01 08:00:00,3.0,2.0,4.5,1.0,60.011041666666664,7103.566848320568,27229.213068181816,24198.02982954545,2,0,30.7
9,9,2020-07-01 09:00:00,3.0,2.0,4.5,1.0,59.99322916666666,6206.536662180603,27238.57395833333,24204.96458333333,2,0,32.5
10,10,2020-07-01 10:00:00,3.0,2.0,4.5,1.0,59.99680681818182,5699.244338400686,27246.3075,24210.73363636364,2,0,33.4
11,11,2020-07-01 11:00:00,3.0,2.0,4.5,1.0,59.99712121212122,4869.229187043495,27251.865909090902,24214.948768939394,2,0,33.7
12,12,2020-07-01 12:00:00,3.0,2.0,4.5,1.0,59.99254734848486,3909.4137609940094,27255.540340909087,24217.218465909093,2,0,34.4
13,13,2020-07-01 13:00:00,3.0,2.0,4.5,1.0,60.01176136363636,3025.532768784592,27256.803787878787,24218.358238636367,3,0,34.1
14,14,2020-07-01 14:00:00,3.0,2.0,4.5,1.0,60.00739583333333,2170.8064627720064,27257.1125,24218.959375,3,0,31.300000000000004
15,15,2020-07-01 15:00:00,3.0,2.0,4.5,1.0,60.00079545454546,1476.5705867579038,27257.363636363636,24219.420454545456,3,0,29.5
16,16,2020-07-01 16:00:00,3.0,2.0,4.5,1.0,59.9883143939394,872.6798539502613,27257.613541666666,24219.81846590909,3,0,27.5
17,17,2020-07-01 17:00:00,3.0,2.0,4.5,1.0,60.00276515151515,583.1922996120502,27257.884374999994,24220.238541666666,3,0,26.2
18,18,2020-07-01 18:00:00,3.0,2.0,4.5,1.0,59.99849431818182,728.0750475459344,27258.134375,24220.658806818185,3,0,26.9
19,19,2020-07-01 19:00:00,3.0,2.0,4.5,1.0,60.0477840909091,1304.2033955063557,27258.39659090909,24221.076136363637,4,0,27.1
20,20,2020-07-01 20:00:00,3.0,2.0,4.5,1.0,59.97089962121211,2196.581033436954,27258.662784090902,24221.49176136364,4,0,27.5
21,21,2020-07-01 21:00:00,3.0,2.0,4.5,1.0,59.972570075757574,2954.3622518449706,27258.915625,24221.93125,4,0,27.300000000000004
22,22,2020-07-01 22:00:00,3.0,2.0,4.5,1.0,60.00897916666667,3918.6890251029886,27259.278333333332,24222.378125,4,0,27.300000000000004
23,23,2020-07-01 23:00:00,3.0,2.0,4.5,1.0,59.98015151515152,4488.353435312254,27261.99034090909,24223.704829545455,4,0,27.5
24,24,2020-07-02 00:00:00,3.0,2.0,4.5,1.0,59.99909090909091,5100.559582480348,27267.004545454547,24226.002272727277,1,0,25.0
25,25,2020-07-02 01:00:00,3.0,2.0,4.5,1.0,60.00178977272727,5721.165365076957,27275.73267045454,24231.510511363642,0,0,27.1
26,26,2020-07-02 02:00:00,3.0,2.0,4.5,1.0,59.99157196969698,6312.483885719157,27285.39270833333,24237.606818181812,0,0,26.9
27,27,2020-07-02 03:00:00,3.0,2.0,4.5,1.0,59.9835321969697,6885.4434029620625,27294.85132575757,24243.52225378788,0,0,27.0
28,28,2020-07-02 04:00:00,3.0,2.0,4.5,1.0,60.01307765151515,7456.174758953165,27303.26600378788,24247.907196969696,0,0,26.9
29,29,2020-07-02 05:00:00,3.0,2.0,4.5,1.0,60.01447727272728,7641.274328512393,27309.445681818182,24251.090340909093,0,0,26.800000000000004
30,30,2020-07-02 06:00:00,3.0,2.0,4.5,1.0,60.033314393939406,7559.87462121212,27316.16022727273,24256.39375,0,0,27.300000000000004
31,31,2020-07-02 07:00:00,3.0,2.0,4.5,1.0,59.98601325757576,6938.64709849809,27323.240056818184,24262.20833333333,2,0,28.1
32,32,2020-07-02 08:00:00,3.0,2.0,4.5,1.0,60.00389204545454,6330.82605424878,27329.960890151513,24267.96960227273,2,0,30.1
33,33,2020-07-02 09:00:00,3.0,2.0,4.5,1.0,60.02312499999999,5409.108809853886,27337.55208333333,24274.08541666667,2,0,31.800000000000004
34,34,2020-07-02 10:00:00,3.0,2.0,4.5,1.0,60.00313636363637,4892.558241160653,27344.680227272725,24279.8925,2,0,32.9
35,35,2020-07-02 11:00:00,3.0,2.0,4.5,1.0,59.99059659090909,4300.793882338407,27350.782196969696,24285.143181818185,2,0,33.4
36,36,2020-07-02 12:00:00,3.0,2.0,4.5,1.0,59.990128933566425,3713.566412716445,27356.222996794877,24289.856570512817,2,0,34.800000000000004
37,37,2020-07-02 13:00:00,3.0,2.0,4.5,1.0,59.98904356060607,3161.098370173555,27358.534375000007,24291.57395833333,3,0,33.300000000000004
38,38,2020-07-02 14:00:00,3.0,2.0,4.5,1.0,60.01380681818181,2616.4866038832893,27359.88579545455,24292.669204545455,3,0,27.800000000000004
39,39,2020-07-02 15:00:00,3.0,2.0,4.5,1.0,59.98210227272728,2036.8343335426193,27360.597916666666,24293.497916666664,3,0,26.6
40,40,2020-07-02 16:00:00,3.0,2.0,4.5,1.0,59.99636363636365,1521.4006422189414,27361.288352272728,24294.152178030297,3,0,26.7
41,41,2020-07-02 17:00:00,3.0,2.0,4.5,1.0,60.00467803030303,1083.512974048716,27361.94375,24294.767424242422,3,0,25.7
42,42,2020-07-02 18:00:00,3.0,2.0,4.5,1.0,60.00354166666666,1043.103702685609,27362.58958333333,24295.36458333333,3,0,24.800000000000004
43,43,2020-07-02 19:00:00,3.0,2.0,4.5,1.0,59.99932954545455,1321.601692527207,27363.221590909092,24295.951136363637,4,0,25.0
44,44,2020-07-02 20:00:00,3.0,2.0,4.5,1.0,60.011875,1874.3521669496488,27363.823768939394,24296.53125,4,0,24.9
45,45,2020-07-02 21:00:00,3.0,2.0,4.5,1.0,59.99614583333334,2509.565872695223,27364.46875,24297.129166666666,4,0,25.0
46,46,2020-07-02 22:00:00,3.0,2.0,4.5,1.0,60.00275568181818,3332.030730828764,27365.19801136364,24297.74895833333,4,0,24.9
47,47,2020-07-02 23:00:00,3.0,2.0,4.5,1.0,59.99245265151516,3735.134922213811,27367.16107954545,24298.92518939394,4,0,25.0
48,48,2020-07-03 00:00:00,3.0,2.0,4.5,1.0,60.05455681818182,4483.927620404084,27370.76647727273,24300.935,1,0,28.7
49,49,2020-07-03 01:00:00,3.0,2.0,4.5,1.0,60.0188446969697,5396.947100192972,27376.932670454546,24305.787310606054,0,0,25.2
50,50,2020-07-03 02:00:00,3.0,2.0,4.5,1.0,59.96599431818183,6218.800541332541,27384.922916666666,24311.455303030303,0,0,25.2
