,Unnamed: 0,lastReportTime,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,session,weekend,Temperature
0,0,2020-07-15 00:00:00,4.0,1.0,1.5,1.0,60.01323863636367,685.6948832379345,5432.898106060604,1,0,29.6
1,1,2020-07-15 01:00:00,4.0,1.0,1.5,1.0,60.01047619047617,1107.9927944955107,5821.04383116883,0,0,30.4
2,2,2020-07-15 02:00:00,4.0,1.0,1.5,1.0,60.013750000000016,1530.2907057530865,5822.9175,0,0,30.2
3,3,2020-07-15 03:00:00,4.0,1.0,1.5,1.0,59.98819736842106,1952.5886170106628,5129.333684210526,0,0,29.9
4,4,2020-07-15 04:00:00,4.0,1.0,1.5,1.0,59.99875,2374.8865282682386,5826.947916666668,0,0,29.8
5,5,2020-07-15 05:00:00,4.0,1.0,1.5,1.0,59.99854978354978,2797.184439525813,4783.583333333335,0,0,29.6
6,6,2020-07-15 06:00:00,4.0,1.0,1.5,1.0,60.01416666666666,5673.351794897712,5573.549999999998,0,0,29.6
7,7,2020-07-15 07:00:00,4.0,1.0,1.5,1.0,59.998803418803426,8459.81163007145,3941.9690170940166,2,0,29.4
8,8,2020-07-15 08:00:00,4.0,1.0,1.5,1.0,60.00020833333333,11216.31163007145,5147.692916666668,2,0,31.1
9,9,2020-07-15 09:00:00,4.0,1.0,1.5,1.0,59.98424818840578,13375.411884908146,5642.238405797101,2,0,32.6
10,10,2020-07-15 10:00:00,4.0,1.0,1.5,1.0,59.98021739130432,16061.253782141346,5835.913043478256,2,0,33.0
11,11,2020-07-15 11:00:00,4.0,1.0,1.5,1.0,60.05327751196171,18427.29175931569,5238.810765550239,2,0,34.6
12,12,2020-07-15 12:00:00,4.0,1.0,1.5,1.0,60.0378151260504,18965.260193659124,5032.432352941178,2,0,34.4
13,13,2020-07-15 13:00:00,4.0,1.0,1.5,1.0,60.023958333333304,18827.010780824483,5836.204166666663,3,0,36.1
14,14,2020-07-15 14:00:00,4.0,1.0,1.5,1.0,59.95279176201376,19412.41583681921,4826.775629290618,3,0,35.1
15,15,2020-07-15 15:00:00,4.0,1.0,1.5,1.0,59.95298913043479,20891.341232076127,5836.393478260866,3,0,35.3
16,16,2020-07-15 16:00:00,4.0,1.0,1.5,1.0,74.85426190476191,19859.67917674016,5394.215833333332,3,0,33.5
17,17,2020-07-15 17:00:00,4.0,1.0,1.5,1.0,60.00659722222221,16911.931195576326,4278.030555555557,3,0,31.3
18,18,2020-07-15 18:00:00,4.0,1.0,1.5,1.0,58.676515151515176,14024.998084090628,5786.981249999998,3,0,31.0
19,19,2020-07-15 19:00:00,4.0,1.0,1.5,1.0,58.650879446640346,11156.323841666386,5432.968577075097,4,0,30.8
20,20,2020-07-15 20:00:00,4.0,1.0,1.5,1.0,60.02875,9007.652893049784,5836.874999999995,4,0,30.1
21,21,2020-07-15 21:00:00,4.0,1.0,1.5,1.0,59.972238095238104,6364.519329149918,5394.713333333331,4,0,30.0
22,22,2020-07-15 22:00:00,4.0,1.0,1.5,1.0,59.9845881006865,3975.171385426975,5231.540503432493,4,0,30.1
23,23,2020-07-15 23:00:00,4.0,1.0,1.5,1.0,58.68487318840579,3407.743574711121,5837.883333333332,4,0,30.3
24,24,2020-07-16 00:00:00,4.0,1.0,1.5,1.0,59.99708333333331,3481.4199734761796,5839.083333333332,1,0,29.1
25,25,2020-07-16 01:00:00,4.0,1.0,1.5,1.0,60.00147644927536,2929.571069415813,5840.822554347828,0,0,29.1
26,26,2020-07-16 02:00:00,4.0,1.0,1.5,1.0,59.99666666666669,1536.5267677030338,5843.0999999999985,0,0,29.0
27,27,2020-07-16 03:00:00,4.0,1.0,1.5,1.0,60.00125000000001,1440.855606328523,5845.187500000001,0,0,28.8
28,28,2020-07-16 04:00:00,4.0,1.0,1.5,1.0,59.99586956521738,1445.8935323959374,5645.300000000001,0,0,28.8
29,29,2020-07-16 05:00:00,4.0,1.0,1.5,1.0,60.01117848970254,1937.3821569959746,5040.138787185354,0,0,28.5
30,30,2020-07-16 06:00:00,4.0,1.0,1.5,1.0,60.00443675889325,4192.339721361433,5445.6419960474295,0,0,28.8
31,31,2020-07-16 07:00:00,4.0,1.0,1.5,1.0,59.99291501976285,6988.550195669732,5851.427371541503,2,0,29.4
32,32,2020-07-16 08:00:00,4.0,1.0,1.5,1.0,59.99690191387559,9744.235307659192,5217.777272727273,2,0,32.5
33,33,2020-07-16 09:00:00,4.0,1.0,1.5,1.0,59.97609848484851,11964.25448628758,5465.129356060607,2,0,32.7
34,34,2020-07-16 10:00:00,4.0,1.0,1.5,1.0,74.86795238095239,14641.963231346868,5290.040476190479,2,0,33.4
35,35,2020-07-16 11:00:00,4.0,1.0,1.5,1.0,75.6532205513784,15846.562191692396,5192.07731829574,2,0,35.3
36,36,2020-07-16 12:00:00,4.0,1.0,1.5,1.0,60.00756916996047,15739.150226187545,5537.5399209486195,2,0,35.0
37,37,2020-07-16 13:00:00,4.0,1.0,1.5,1.0,60.01304347826087,15642.72730128636,5801.334782608698,3,0,35.1
38,38,2020-07-16 14:00:00,4.0,1.0,1.5,1.0,60.01047368421053,16200.132553569962,5620.907105263159,3,0,33.5
39,39,2020-07-16 15:00:00,4.0,1.0,1.5,1.0,60.00655303030301,16958.21742636205,5465.87575757576,3,0,33.6
40,40,2020-07-16 16:00:00,4.0,1.0,1.5,1.0,58.58471861471864,16652.50766642502,5632.181601731603,3,0,34.2
41,41,2020-07-16 17:00:00,4.0,1.0,1.5,1.0,60.000226449275324,14304.857100616558,5659.978442028988,3,0,33.8
42,42,2020-07-16 18:00:00,4.0,1.0,1.5,1.0,60.00909090909088,11385.37389903553,5853.9847826087,3,0,31.7
43,43,2020-07-16 19:00:00,4.0,1.0,1.5,1.0,58.21661764705882,8585.597877955166,4923.342352941178,4,0,31.3
44,44,2020-07-16 20:00:00,4.0,1.0,1.5,1.0,60.00588235294117,6420.76809326617,5332.076862745097,4,0,30.7
45,45,2020-07-16 21:00:00,4.0,1.0,1.5,1.0,59.986331168831185,3834.8336125898422,5431.233658008658,4,0,30.3
46,46,2020-07-16 22:00:00,4.0,1.0,1.5,1.0,59.98416666666665,2802.984704251804,5424.4678571428585,4,0,29.8
47,47,2020-07-16 23:00:00,4.0,1.0,1.5,1.0,60.01299999999999,3102.780428290611,5622.31,4,0,29.7
48,48,2020-07-17 00:00:00,4.0,1.0,1.5,1.0,59.98979166666663,3355.6347478840603,5856.462499999998,1,0,29.4
49,49,2020-07-17 01:00:00,4.0,1.0,1.5,1.0,60.01770833333332,2901.306402744352,5858.975000000001,0,0,28.6
50,50,2020-07-17 02:00:00,4.0,1.0,1.5,1.0,60.01235507246376,2176.8593693855546,4646.746014492755,0,0,28.3
51,51,2020-07-17 03:00:00,4.0,1.0,1.5,1.0,60.00383695652175,1971.4479813664589,4994.376956521737,0,0,28.1
52,52,2020-07-17 04:00:00,4.0,1.0,1.5,1.0,59.99318181818178,1974.1788615973392,5656.2409090909105,0,0,27.8
