,lastReportTime,p_sum,weekend,session,ae_tot,Temp(¢J)
0,2020-08-07 12:00:00,16949.975830065086,0,2,566442.5587272728,34.7
1,2020-08-07 13:00:00,15839.08246931925,0,3,566462.2266666668,34.5
2,2020-08-07 14:00:00,14728.189108573413,0,3,566478.6316666667,35.6
3,2020-08-07 15:00:00,13617.295747827577,0,3,566491.3333333333,35.6
4,2020-08-07 16:00:00,12506.40238708174,0,3,566501.5450000003,34.8
5,2020-08-07 17:00:00,11395.509026335903,0,3,566513.8716666666,33.0
6,2020-08-07 18:00:00,10248.980644894986,0,3,566527.125,32.4
7,2020-08-07 19:00:00,9813.239329554688,0,4,566540.6663636364,31.9
8,2020-08-07 20:00:00,10056.607273888305,0,4,566554.4583333335,31.3
9,2020-08-07 21:00:00,10965.17349645884,0,4,566568.1927272727,30.7
10,2020-08-07 22:00:00,11990.70158771624,0,4,566582.575,30.5
11,2020-08-07 23:00:00,12593.27221008412,0,4,566596.525,30.2
12,2020-08-08 00:00:00,13052.208090835204,1,1,566610.275,29.3
13,2020-08-08 01:00:00,13722.788461944416,1,0,566625.2181818183,29.5
14,2020-08-08 02:00:00,15054.233020381449,1,0,561042.7416666667,29.2
15,2020-08-08 03:00:00,16004.07501556843,1,0,566665.5700000001,28.8
16,2020-08-08 04:00:00,16484.60611417202,1,0,566683.0283333333,28.6
17,2020-08-08 05:00:00,16747.37362232566,1,0,566698.8083333332,28.3
18,2020-08-08 06:00:00,16658.703485085967,1,0,566713.8363636363,28.1
19,2020-08-08 07:00:00,16050.678314176243,1,2,566734.4099999999,29.0
20,2020-08-08 08:00:00,15221.039233716472,1,2,566756.0216666667,30.8
21,2020-08-08 09:00:00,14472.351062347612,1,2,566772.3,32.4
22,2020-08-08 10:00:00,13839.427257369936,1,2,566785.6266666666,31.7
23,2020-08-08 11:00:00,13338.161207213196,1,2,566797.8233333335,32.8
24,2020-08-08 12:00:00,12962.961813273801,1,2,566810.23,35.1
25,2020-08-08 13:00:00,11936.230590703268,1,3,566824.1383333334,34.0
26,2020-08-08 14:00:00,11064.066943890313,1,3,566839.745,32.9
27,2020-08-08 15:00:00,10616.109509198566,1,3,566854.8258181817,33.8
28,2020-08-08 16:00:00,10415.270155314902,1,3,566868.7966666665,33.3
29,2020-08-08 17:00:00,10247.927291330228,1,3,561577.4795454544,31.8
30,2020-08-08 18:00:00,10051.997861688988,1,3,566895.8316666667,31.4
31,2020-08-08 19:00:00,10219.260684128258,1,4,566911.8933333333,30.7
